ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.81223 1.33600 0.28815 1.79536 2.02989 12.41672 6284.6 11050.0 2.04303 0.45325 
0.81354 1.34400 0.29216 1.79975 2.03592 12.39503 6284.5 11090.0 2.04580 0.45165 
0.81482 1.35200 0.29619 1.80408 2.04187 12.37358 6284.5 11129.6 2.04848 0.45007 
0.81608 1.36000 0.30024 1.80833 2.04773 12.35239 6284.4 11168.8 2.05106 0.44851 
0.81732 1.36800 0.30432 1.81250 2.05347 12.33136 6284.2 11207.7 2.05351 0.44697 
0.81854 1.37600 0.30842 1.81662 2.05917 12.31064 6284.0 11246.2 2.05591 0.44545 
0.81974 1.38400 0.31255 1.82068 2.06479 12.29013 6283.9 11284.3 2.05822 0.44395 
0.82093 1.39200 0.31670 1.82467 2.07032 12.26976 6283.8 11322.2 2.06043 0.44249 
0.82210 1.40000 0.32087 1.82862 2.07580 12.24971 6283.6 11359.6 2.06259 0.44103 
0.82325 1.40800 0.32507 1.83248 2.08118 12.22981 6283.5 11396.7 2.06464 0.43959 
0.82439 1.41600 0.32930 1.83631 2.08650 12.21017 6283.3 11433.5 2.06664 0.43817 
0.82550 1.42400 0.33355 1.84012 2.09182 12.19085 6283.1 11469.9 2.06862 0.43677 
0.82661 1.43200 0.33782 1.84384 2.09702 12.17164 6283.1 11506.1 2.07049 0.43540 
0.82769 1.44000 0.34211 1.84749 2.10214 12.15257 6283.1 11542.0 2.07227 0.43405 
0.82876 1.44800 0.34643 1.85111 2.10720 12.13377 6283.1 11577.6 2.07400 0.43272 
0.82982 1.45600 0.35078 1.85463 2.11215 12.11506 6283.0 11613.0 2.07563 0.43141 
0.83086 1.46400 0.35515 1.85813 2.11706 12.09661 6283.0 11648.0 2.07723 0.43012 
0.83189 1.47200 0.35954 1.86157 2.12192 12.07833 6283.0 11682.7 2.07875 0.42884 
0.83291 1.48000 0.36395 1.86494 2.12666 12.06015 6283.1 11717.3 2.08017 0.42759 
