ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.70984 0.50000 0.02299 0.60839 0.62708 15.75597 3671.9 4588.4 0.52232 0.58959 
0.70833 0.50800 0.02402 0.62638 0.64639 15.70640 3743.9 4679.3 0.54500 0.59173 
0.70680 0.51600 0.02507 0.64460 0.66598 15.65975 3815.0 4769.7 0.56846 0.59389 
0.70523 0.52400 0.02616 0.66278 0.68557 15.61953 3885.3 4856.4 0.59192 0.59571 
0.70383 0.53200 0.02727 0.68094 0.70518 15.58039 3953.8 4942.1 0.61553 0.59722 
0.70246 0.54000 0.02842 0.69922 0.72497 15.54316 4021.3 5027.1 0.63968 0.59867 
0.70107 0.54800 0.02959 0.71753 0.74484 15.50947 4088.0 5110.1 0.66411 0.60000 
0.69981 0.55600 0.03079 0.73578 0.76467 15.47756 4153.1 5191.3 0.68850 0.60100 
0.69856 0.56400 0.03201 0.75404 0.78456 15.44744 4217.3 5271.5 0.71324 0.60197 
0.69720 0.57200 0.03327 0.77250 0.80473 15.42000 4281.2 5350.9 0.73885 0.60314 
0.69591 0.58000 0.03455 0.79101 0.82501 15.39264 4344.0 5430.2 0.76491 0.60426 
0.69475 0.58800 0.03587 0.80939 0.84518 15.36579 4405.5 5508.1 0.79080 0.60511 
0.69360 0.59600 0.03721 0.82768 0.86530 15.34149 4466.2 5583.8 0.81665 0.60581 
0.69244 0.60400 0.03858 0.84597 0.88545 15.31924 4526.3 5657.8 0.84274 0.60648 
0.69132 0.61200 0.03999 0.86423 0.90564 15.29731 4585.4 5731.4 0.86910 0.60712 
0.69029 0.62000 0.04142 0.88246 0.92583 15.27526 4643.5 5804.5 0.89565 0.60769 
0.68930 0.62800 0.04288 0.90058 0.94595 15.25400 4700.7 5876.3 0.92215 0.60814 
0.68832 0.63600 0.04437 0.91860 0.96599 15.23421 4757.3 5946.5 0.94860 0.60853 
0.68734 0.64400 0.04589 0.93653 0.98598 15.21570 4813.2 6015.1 0.97505 0.60884 
0.68641 0.65200 0.04744 0.95438 1.00593 15.19719 4868.2 6083.2 1.00161 0.60914 
0.68556 0.66000 0.04902 0.97220 1.02590 15.17789 4922.2 6151.5 1.02846 0.60943 
0.68474 0.66800 0.05063 0.98999 1.04588 15.15845 4975.5 6219.7 1.05558 0.60975 
0.68390 0.67600 0.05227 1.00767 1.06580 15.14026 5028.2 6286.4 1.08268 0.61005 
0.68305 0.68400 0.05393 1.02522 1.08560 15.12323 5080.6 6351.4 1.10963 0.61031 
0.68225 0.69200 0.05563 1.04260 1.10525 15.10633 5132.2 6415.4 1.13635 0.61047 
0.68151 0.70000 0.05736 1.05984 1.12479 15.08945 5183.0 6478.6 1.16292 0.61057 
0.68082 0.70800 0.05912 1.07692 1.14419 15.07239 5233.1 6541.1 1.18933 0.61063 
0.68016 0.71600 0.06091 1.09389 1.16351 15.05527 5282.5 6603.1 1.21569 0.61067 
0.67952 0.72400 0.06273 1.11075 1.18275 15.03823 5331.4 6664.5 1.24207 0.61072 
0.67889 0.73200 0.06458 1.12750 1.20192 15.02167 5379.7 6725.1 1.26844 0.61078 
0.67827 0.74000 0.06645 1.14411 1.22096 15.00530 5427.5 6784.8 1.29468 0.61083 
0.67768 0.74800 0.06836 1.16055 1.23986 14.98907 5474.8 6843.7 1.32069 0.61083 
0.67712 0.75600 0.07030 1.17682 1.25859 14.97261 5521.5 6901.9 1.34643 0.61081 
0.67661 0.76400 0.07227 1.19292 1.27717 14.95617 5567.6 6959.4 1.37194 0.61075 
0.67612 0.77200 0.07427 1.20884 1.29558 14.93951 5613.1 7016.3 1.39717 0.61067 
0.67567 0.78000 0.07630 1.22459 1.31384 14.92277 5658.1 7072.5 1.42215 0.61055 
0.67525 0.78800 0.07836 1.24017 1.33195 14.90599 5702.5 7128.1 1.44691 0.61042 
0.67483 0.79600 0.08045 1.25558 1.34989 14.88900 5746.6 7183.4 1.47151 0.61034 
0.67440 0.80400 0.08257 1.27093 1.36781 14.87267 5790.2 7237.9 1.49619 0.61028 
0.67397 0.81200 0.08471 1.28615 1.38561 14.85649 5833.5 7291.9 1.52080 0.61025 
0.67355 0.82000 0.08689 1.30123 1.40329 14.84026 5876.4 7345.4 1.54529 0.61024 
0.67316 0.82800 0.08910 1.31613 1.42080 14.82387 5918.7 7398.4 1.56945 0.61019 
0.67281 0.83600 0.09134 1.33082 1.43811 14.80723 5960.5 7450.8 1.59323 0.61011 
0.67248 0.84400 0.09361 1.34533 1.45523 14.79039 6001.9 7502.6 1.61668 0.61002 
0.67218 0.85200 0.09591 1.35967 1.47219 14.77358 6042.9 7553.8 1.63983 0.60990 
0.67189 0.86000 0.09824 1.37382 1.48896 14.75666 6083.4 7604.5 1.66265 0.60978 
0.67162 0.86800 0.10060 1.38780 1.50557 14.73959 6123.6 7654.7 1.68520 0.60966 
0.67137 0.87600 0.10298 1.40159 1.52198 14.72246 6163.3 7704.4 1.70740 0.60952 
0.67114 0.88400 0.10540 1.41520 1.53821 14.70523 6202.6 7753.5 1.72928 0.60938 
0.67093 0.89200 0.10785 1.42864 1.55428 14.68789 6241.5 7802.3 1.75087 0.60923 
0.67072 0.90000 0.11033 1.44192 1.57018 14.67064 6280.1 7850.4 1.77218 0.60908 
0.67053 0.90800 0.11283 1.45503 1.58591 14.65333 6318.3 7898.1 1.79319 0.60893 
0.67034 0.91600 0.11537 1.46797 1.60148 14.63596 6356.2 7945.4 1.81397 0.60880 
0.67016 0.92400 0.11794 1.48077 1.61689 14.61861 6393.7 7992.3 1.83451 0.60868 
0.67000 0.93200 0.12053 1.49339 1.63214 14.60121 6430.9 8038.7 1.85475 0.60855 
0.66985 0.94000 0.12316 1.50585 1.64722 14.58370 6467.8 8084.8 1.87470 0.60843 
0.66971 0.94800 0.12581 1.51815 1.66213 14.56611 6504.3 8130.5 1.89434 0.60830 
0.66959 0.95600 0.12849 1.53027 1.67686 14.54842 6540.5 8175.8 1.91365 0.60817 
0.66948 0.96400 0.13121 1.54221 1.69140 14.53065 6576.3 8220.7 1.93261 0.60803 
0.66938 0.97200 0.13395 1.55399 1.70577 14.51282 6611.9 8265.1 1.95126 0.60790 
0.66930 0.98000 0.13672 1.56560 1.71996 14.49496 6647.1 8309.1 1.96958 0.60776 
0.66923 0.98800 0.13952 1.57704 1.73397 14.47695 6682.0 8352.8 1.98756 0.60761 
0.66917 0.99600 0.14235 1.58833 1.74783 14.45900 6716.5 8396.1 2.00526 0.60746 
0.66912 1.00400 0.14520 1.59944 1.76148 14.44095 6750.8 8439.0 2.02260 0.60731 
0.66908 1.01200 0.14809 1.61039 1.77496 14.42283 6784.7 8481.6 2.03962 0.60716 
0.66905 1.02000 0.15100 1.62117 1.78827 14.40464 6818.3 8523.8 2.05632 0.60701 
0.66903 1.02800 0.15395 1.63180 1.80142 14.38643 6851.7 8565.6 2.07273 0.60687 
0.66901 1.03600 0.15692 1.64228 1.81440 14.36824 6884.8 8607.1 2.08884 0.60672 
0.66901 1.04400 0.15992 1.65261 1.82721 14.35003 6917.7 8648.3 2.10465 0.60658 
0.66900 1.05200 0.16295 1.66278 1.83986 14.33179 6950.3 8689.0 2.12015 0.60644 
0.66901 1.06000 0.16601 1.67281 1.85235 14.31360 6982.7 8729.5 2.13538 0.60630 
0.66901 1.06800 0.16909 1.68270 1.86469 14.29552 7014.9 8769.5 2.15035 0.60618 
0.66901 1.07600 0.17220 1.69245 1.87688 14.27751 7046.8 8809.2 2.16506 0.60606 
0.66901 1.08400 0.17535 1.70206 1.88892 14.25955 7078.6 8848.5 2.17952 0.60596 
0.66902 1.09200 0.17852 1.71154 1.90081 14.24161 7110.1 8887.6 2.19376 0.60586 
0.66903 1.10000 0.18171 1.72089 1.91257 14.22371 7141.3 8926.4 2.20776 0.60577 
0.66904 1.10800 0.18494 1.73012 1.92418 14.20582 7172.3 8965.0 2.22155 0.60569 
0.66906 1.11600 0.18819 1.73920 1.93564 14.18787 7203.0 9003.3 2.23507 0.60561 
0.66909 1.12400 0.19147 1.74814 1.94694 14.16987 7233.5 9041.4 2.24832 0.60554 
0.66913 1.13200 0.19478 1.75695 1.95809 14.15183 7263.6 9079.3 2.26131 0.60546 
0.66918 1.14000 0.19812 1.76562 1.96909 14.13377 7293.6 9116.9 2.27402 0.60538 
0.66923 1.14800 0.20148 1.77415 1.97993 14.11573 7323.3 9154.1 2.28643 0.60530 
0.66928 1.15600 0.20487 1.78255 1.99062 14.09770 7352.8 9191.1 2.29857 0.60523 
0.66935 1.16400 0.20829 1.79081 2.00115 14.07967 7382.1 9227.7 2.31040 0.60514 
0.66941 1.17200 0.21173 1.79894 2.01153 14.06166 7411.2 9264.1 2.32197 0.60507 
0.66948 1.18000 0.21520 1.80694 2.02177 14.04369 7440.1 9300.2 2.33329 0.60499 
0.66955 1.18800 0.21870 1.81482 2.03187 14.02574 7468.8 9336.0 2.34435 0.60491 
0.66963 1.19600 0.22223 1.82258 2.04182 14.00785 7497.3 9371.4 2.35514 0.60484 
0.66971 1.20400 0.22578 1.83021 2.05162 13.98993 7525.6 9406.7 2.36569 0.60476 
0.66979 1.21200 0.22936 1.83772 2.06129 13.97202 7553.7 9441.8 2.37599 0.60469 
0.66988 1.22000 0.23296 1.84511 2.07082 13.95411 7581.5 9476.6 2.38604 0.60461 
0.66997 1.22800 0.23659 1.85239 2.08022 13.93623 7609.2 9511.1 2.39588 0.60454 
0.67007 1.23600 0.24025 1.85954 2.08948 13.91838 7636.7 9545.4 2.40545 0.60447 
0.67017 1.24400 0.24393 1.86658 2.09860 13.90055 7663.9 9579.5 2.41480 0.60440 
0.67027 1.25200 0.24764 1.87351 2.10759 13.88275 7691.0 9613.4 2.42391 0.60433 
0.67038 1.26000 0.25138 1.88033 2.11645 13.86497 7717.9 9647.0 2.43281 0.60426 
0.67049 1.26800 0.25514 1.88703 2.12518 13.84722 7744.5 9680.4 2.44148 0.60419 
0.67060 1.27600 0.25893 1.89363 2.13377 13.82953 7771.0 9713.5 2.44992 0.60413 
0.67071 1.28400 0.26274 1.90012 2.14224 13.81186 7797.3 9746.4 2.45816 0.60406 
0.67083 1.29200 0.26658 1.90650 2.15059 13.79424 7823.5 9779.1 2.46616 0.60399 
0.67095 1.30000 0.27045 1.91278 2.15881 13.77665 7849.4 9811.6 2.47396 0.60393 
0.67107 1.30800 0.27434 1.91896 2.16691 13.75912 7875.2 9843.8 2.48155 0.60387 
0.67120 1.31600 0.27825 1.92503 2.17488 13.74164 7900.8 9875.9 2.48894 0.60380 
0.67132 1.32400 0.28220 1.93101 2.18274 13.72420 7926.2 9907.7 2.49612 0.60374 
0.67145 1.33200 0.28616 1.93688 2.19048 13.70680 7951.5 9939.2 2.50310 0.60368 
0.67158 1.34000 0.29015 1.94267 2.19810 13.68945 7976.6 9970.6 2.50990 0.60362 
0.67172 1.34800 0.29417 1.94833 2.20559 13.67206 8001.6 10001.9 2.51647 0.60357 
0.67185 1.35600 0.29821 1.95393 2.21299 13.65480 8026.3 10032.9 2.52290 0.60352 
0.67199 1.36400 0.30227 1.95943 2.22028 13.63759 8051.0 10063.7 2.52915 0.60346 
0.67212 1.37200 0.30636 1.96485 2.22747 13.62044 8075.4 10094.3 2.53524 0.60341 
0.67226 1.38000 0.31048 1.97018 2.23454 13.60336 8099.7 10124.7 2.54114 0.60336 
0.67240 1.38800 0.31462 1.97542 2.24151 13.58633 8123.9 10154.9 2.54687 0.60331 
0.67253 1.39600 0.31878 1.98058 2.24838 13.56937 8147.9 10184.9 2.55245 0.60326 
