ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.97540 0.50000 0.02299 0.54255 0.55827 12.71569 1184.6 5913.7 0.38578 0.17665 
0.97491 0.50800 0.02402 0.55719 0.57399 12.67452 1204.3 6023.4 0.40022 0.17664 
0.97474 0.51600 0.02507 0.57207 0.59002 12.63469 1225.1 6131.8 0.41476 0.17667 
0.97494 0.52400 0.02616 0.58684 0.60593 12.59952 1246.7 6234.8 0.42886 0.17665 
0.97501 0.53200 0.02727 0.60141 0.62165 12.56846 1266.9 6334.3 0.44293 0.17654 
0.97481 0.54000 0.02842 0.61600 0.63742 12.53928 1285.8 6433.3 0.45744 0.17638 
0.97458 0.54800 0.02959 0.63080 0.65348 12.51224 1303.4 6531.2 0.47246 0.17609 
0.97453 0.55600 0.03079 0.64554 0.66949 12.48597 1322.0 6627.2 0.48726 0.17588 
0.97461 0.56400 0.03201 0.66018 0.68543 12.46163 1341.1 6720.3 0.50186 0.17571 
0.97466 0.57200 0.03327 0.67475 0.70130 12.43947 1359.7 6811.3 0.51649 0.17552 
0.97450 0.58000 0.03455 0.68937 0.71728 12.41908 1376.9 6901.8 0.53161 0.17526 
0.97415 0.58800 0.03587 0.70419 0.73355 12.39958 1393.0 6992.9 0.54747 0.17498 
0.97382 0.59600 0.03721 0.71911 0.74998 12.38019 1408.6 7083.6 0.56361 0.17469 
0.97374 0.60400 0.03858 0.73393 0.76633 12.36094 1424.8 7172.0 0.57935 0.17437 
0.97385 0.61200 0.03999 0.74864 0.78258 12.34246 1441.8 7258.1 0.59475 0.17409 
0.97402 0.62000 0.04142 0.76323 0.79872 12.32546 1459.9 7342.0 0.60999 0.17395 
0.97411 0.62800 0.04288 0.77770 0.81476 12.30997 1477.5 7424.1 0.62527 0.17381 
0.97408 0.63600 0.04437 0.79208 0.83073 12.29569 1494.0 7504.8 0.64068 0.17359 
0.97395 0.64400 0.04589 0.80647 0.84675 12.28212 1509.3 7585.0 0.65639 0.17332 
0.97379 0.65200 0.04744 0.82084 0.86280 12.26896 1524.0 7664.5 0.67227 0.17302 
0.97367 0.66000 0.04902 0.83517 0.87884 12.25602 1538.6 7742.9 0.68814 0.17272 
0.97361 0.66800 0.05063 0.84939 0.89479 12.24333 1553.1 7819.8 0.70386 0.17241 
0.97361 0.67600 0.05227 0.86351 0.91066 12.23098 1567.6 7895.4 0.71944 0.17210 
0.97364 0.68400 0.05393 0.87754 0.92646 12.21902 1582.1 7969.8 0.73492 0.17180 
0.97368 0.69200 0.05563 0.89148 0.94219 12.20756 1596.9 8043.0 0.75035 0.17156 
0.97372 0.70000 0.05736 0.90531 0.95782 12.19657 1611.8 8114.8 0.76569 0.17134 
0.97372 0.70800 0.05912 0.91903 0.97336 12.18608 1626.4 8185.6 0.78103 0.17113 
0.97367 0.71600 0.06091 0.93268 0.98887 12.17606 1640.4 8255.8 0.79648 0.17090 
0.97352 0.72400 0.06273 0.94634 1.00443 12.16646 1653.6 8326.0 0.81226 0.17065 
0.97332 0.73200 0.06458 0.95999 1.02004 12.15704 1666.4 8395.8 0.82827 0.17041 
0.97311 0.74000 0.06645 0.97360 1.03565 12.14768 1678.8 8465.1 0.84439 0.17016 
0.97297 0.74800 0.06836 0.98707 1.05114 12.13804 1691.2 8533.1 0.86027 0.16991 
0.97288 0.75600 0.07030 1.00041 1.06649 12.12830 1703.7 8599.9 0.87591 0.16966 
0.97284 0.76400 0.07227 1.01361 1.08172 12.11852 1716.1 8665.8 0.89131 0.16940 
0.97285 0.77200 0.07427 1.02668 1.09683 12.10872 1728.2 8730.7 0.90650 0.16912 
0.97287 0.78000 0.07630 1.03963 1.11183 12.09897 1740.1 8794.9 0.92156 0.16882 
0.97293 0.78800 0.07836 1.05247 1.12674 12.08928 1752.0 8858.3 0.93648 0.16853 
0.97301 0.79600 0.08045 1.06519 1.14155 12.07968 1764.0 8920.8 0.95125 0.16828 
0.97309 0.80400 0.08257 1.07781 1.15625 12.07033 1776.9 8982.4 0.96592 0.16811 
0.97316 0.81200 0.08471 1.09027 1.17081 12.06113 1790.1 9043.1 0.98041 0.16800 
0.97322 0.82000 0.08689 1.10262 1.18525 12.05218 1803.2 9102.8 0.99483 0.16789 
0.97324 0.82800 0.08910 1.11484 1.19957 12.04345 1816.1 9161.8 1.00918 0.16779 
0.97325 0.83600 0.09134 1.12691 1.21375 12.03473 1828.2 9220.2 1.02339 0.16764 
0.97323 0.84400 0.09361 1.13888 1.22785 12.02613 1839.9 9278.1 1.03759 0.16747 
0.97319 0.85200 0.09591 1.15075 1.24186 12.01758 1851.2 9335.6 1.05176 0.16730 
0.97314 0.86000 0.09824 1.16251 1.25578 12.00904 1862.2 9392.5 1.06588 0.16711 
0.97308 0.86800 0.10060 1.17417 1.26961 12.00050 1873.0 9448.9 1.07992 0.16694 
0.97304 0.87600 0.10298 1.18571 1.28333 11.99189 1883.7 9504.6 1.09383 0.16676 
0.97301 0.88400 0.10540 1.19712 1.29691 11.98321 1894.4 9559.6 1.10755 0.16659 
0.97299 0.89200 0.10785 1.20839 1.31037 11.97447 1905.0 9614.0 1.12110 0.16643 
0.97297 0.90000 0.11033 1.21954 1.32370 11.96569 1915.5 9667.7 1.13449 0.16626 
0.97297 0.90800 0.11283 1.23056 1.33690 11.95687 1925.9 9720.9 1.14771 0.16610 
0.97296 0.91600 0.11537 1.24145 1.34997 11.94804 1936.3 9773.5 1.16078 0.16594 
0.97296 0.92400 0.11794 1.25222 1.36293 11.93918 1946.4 9825.6 1.17371 0.16578 
0.97296 0.93200 0.12053 1.26288 1.37577 11.93030 1956.5 9877.2 1.18649 0.16562 
0.97297 0.94000 0.12316 1.27341 1.38849 11.92139 1966.5 9928.2 1.19913 0.16547 
0.97297 0.94800 0.12581 1.28382 1.40109 11.91245 1976.3 9978.8 1.21162 0.16531 
0.97298 0.95600 0.12849 1.29411 1.41357 11.90348 1986.0 10028.9 1.22396 0.16516 
0.97299 0.96400 0.13121 1.30428 1.42593 11.89447 1995.6 10078.5 1.23616 0.16501 
0.97301 0.97200 0.13395 1.31433 1.43817 11.88544 2005.2 10127.6 1.24821 0.16486 
0.97302 0.98000 0.13672 1.32426 1.45030 11.87639 2014.6 10176.3 1.26013 0.16472 
0.97304 0.98800 0.13952 1.33408 1.46231 11.86732 2024.1 10224.5 1.27190 0.16459 
0.97306 0.99600 0.14235 1.34379 1.47420 11.85826 2033.7 10272.2 1.28354 0.16449 
0.97307 1.00400 0.14520 1.35338 1.48597 11.84918 2043.4 10319.4 1.29503 0.16439 
0.97308 1.01200 0.14809 1.36284 1.49761 11.84007 2052.9 10366.2 1.30637 0.16430 
0.97310 1.02000 0.15100 1.37219 1.50913 11.83094 2062.5 10412.5 1.31755 0.16422 
0.97311 1.02800 0.15395 1.38142 1.52052 11.82180 2072.0 10458.4 1.32858 0.16414 
0.97311 1.03600 0.15692 1.39054 1.53179 11.81265 2081.4 10503.9 1.33947 0.16406 
0.97312 1.04400 0.15992 1.39954 1.54295 11.80346 2090.6 10549.0 1.35023 0.16398 
0.97312 1.05200 0.16295 1.40843 1.55399 11.79427 2099.5 10593.8 1.36086 0.16389 
0.97310 1.06000 0.16601 1.41723 1.56493 11.78512 2108.5 10638.3 1.37142 0.16381 
0.97307 1.06800 0.16909 1.42593 1.57580 11.77600 2117.1 10682.6 1.38192 0.16373 
0.97304 1.07600 0.17220 1.43454 1.58657 11.76688 2125.6 10726.7 1.39234 0.16364 
0.97300 1.08400 0.17535 1.44305 1.59724 11.75775 2134.0 10770.4 1.40267 0.16356 
0.97295 1.09200 0.17852 1.45146 1.60782 11.74861 2142.4 10813.8 1.41290 0.16348 
0.97291 1.10000 0.18171 1.45978 1.61830 11.73943 2150.6 10856.9 1.42303 0.16341 
0.97286 1.10800 0.18494 1.46799 1.62867 11.73021 2158.7 10899.6 1.43303 0.16334 
0.97283 1.11600 0.18819 1.47609 1.63892 11.72089 2166.8 10941.9 1.44284 0.16326 
0.97281 1.12400 0.19147 1.48408 1.64904 11.71149 2174.8 10983.7 1.45247 0.16319 
0.97279 1.13200 0.19478 1.49196 1.65904 11.70203 2182.9 11025.2 1.46192 0.16313 
0.97278 1.14000 0.19812 1.49973 1.66891 11.69252 2190.9 11066.2 1.47119 0.16306 
0.97278 1.14800 0.20148 1.50739 1.67867 11.68297 2198.9 11106.9 1.48030 0.16300 
0.97278 1.15600 0.20487 1.51494 1.68830 11.67337 2206.8 11147.3 1.48923 0.16294 
0.97278 1.16400 0.20829 1.52239 1.69782 11.66374 2214.7 11187.3 1.49801 0.16288 
0.97279 1.17200 0.21173 1.52973 1.70722 11.65409 2222.6 11226.9 1.50663 0.16283 
0.97280 1.18000 0.21520 1.53698 1.71651 11.64443 2230.5 11266.3 1.51510 0.16278 
0.97281 1.18800 0.21870 1.54413 1.72569 11.63475 2238.3 11305.4 1.52343 0.16272 
