ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.98990 0.50000 0.02299 0.53899 0.55457 12.60504 749.2 5970.3 0.37929 0.11130 
0.98967 0.50800 0.02402 0.55394 0.57065 12.56298 768.4 6082.7 0.39370 0.11219 
0.98964 0.51600 0.02507 0.56854 0.58635 12.52684 791.2 6187.9 0.40745 0.11349 
0.98977 0.52400 0.02616 0.58279 0.60167 12.49376 799.4 6289.3 0.42089 0.11272 
0.98982 0.53200 0.02727 0.59715 0.61716 12.46229 803.3 6390.6 0.43478 0.11145 
0.98973 0.54000 0.02842 0.61181 0.63303 12.43261 815.0 6491.5 0.44921 0.11128 
0.98962 0.54800 0.02959 0.62650 0.64897 12.40543 832.3 6590.0 0.46370 0.11188 
0.98961 0.55600 0.03079 0.64099 0.66469 12.38081 847.6 6684.9 0.47791 0.11218 
0.98966 0.56400 0.03201 0.65531 0.68025 12.35794 857.7 6777.3 0.49199 0.11181 
0.98970 0.57200 0.03327 0.66966 0.69589 12.33588 862.1 6869.5 0.50638 0.11077 
0.98962 0.58000 0.03455 0.68435 0.71198 12.31350 863.0 6964.0 0.52165 0.10938 
0.98946 0.58800 0.03587 0.69936 0.72849 12.29201 874.4 7058.3 0.53744 0.10932 
0.98932 0.59600 0.03721 0.71429 0.74494 12.27288 897.4 7148.8 0.55296 0.11067 
0.98932 0.60400 0.03858 0.72890 0.76103 12.25556 916.1 7235.6 0.56800 0.11144 
0.98940 0.61200 0.03999 0.74322 0.77682 12.23893 925.6 7320.5 0.58275 0.11111 
0.98949 0.62000 0.04142 0.75745 0.79253 12.22296 930.8 7404.2 0.59751 0.11030 
0.98955 0.62800 0.04288 0.77165 0.80826 12.20785 936.5 7486.7 0.61239 0.10959 
0.98954 0.63600 0.04437 0.78592 0.82411 12.19323 941.0 7569.2 0.62763 0.10879 
0.98948 0.64400 0.04589 0.80026 0.84010 12.17907 947.6 7651.2 0.64313 0.10828 
0.98940 0.65200 0.04744 0.81463 0.85616 12.16562 958.7 7731.8 0.65872 0.10828 
0.98935 0.66000 0.04902 0.82888 0.87211 12.15311 973.5 7810.2 0.67412 0.10869 
0.98933 0.66800 0.05063 0.84297 0.88790 12.14127 987.0 7887.0 0.68934 0.10895 
0.98933 0.67600 0.05227 0.85690 0.90354 12.12979 996.9 7962.5 0.70445 0.10883 
0.98935 0.68400 0.05393 0.87072 0.91909 12.11854 1004.4 8037.0 0.71952 0.10846 
0.98937 0.69200 0.05563 0.88444 0.93454 12.10767 1012.2 8110.3 0.73450 0.10815 
0.98940 0.70000 0.05736 0.89807 0.94994 12.09715 1019.6 8182.6 0.74945 0.10781 
0.98940 0.70800 0.05912 0.91165 0.96531 12.08689 1025.4 8254.4 0.76451 0.10732 
0.98937 0.71600 0.06091 0.92525 0.98079 12.07642 1025.6 8327.0 0.77996 0.10632 
0.98930 0.72400 0.06273 0.93892 0.99641 12.06591 1026.2 8399.7 0.79575 0.10540 
0.98921 0.73200 0.06458 0.95264 1.01214 12.05546 1030.2 8471.8 0.81170 0.10484 
0.98912 0.74000 0.06645 0.96630 1.02784 12.04556 1043.3 8541.8 0.82746 0.10520 
0.98906 0.74800 0.06836 0.97980 1.04336 12.03617 1060.6 8609.9 0.84286 0.10595 
0.98904 0.75600 0.07030 0.99311 1.05868 12.02715 1077.6 8676.5 0.85799 0.10667 
0.98903 0.76400 0.07227 1.00622 1.07378 12.01834 1092.0 8742.0 0.87288 0.10712 
0.98904 0.77200 0.07427 1.01913 1.08869 12.00944 1101.1 8806.9 0.88763 0.10708 
0.98905 0.78000 0.07630 1.03191 1.10347 12.00052 1108.2 8871.1 0.90227 0.10685 
0.98909 0.78800 0.07836 1.04455 1.11813 11.99158 1114.0 8934.5 0.91678 0.10650 
0.98913 0.79600 0.08045 1.05707 1.13267 11.98265 1119.2 8997.2 0.93116 0.10612 
0.98918 0.80400 0.08257 1.06947 1.14711 11.97386 1125.2 9059.0 0.94542 0.10582 
0.98922 0.81200 0.08471 1.08175 1.16143 11.96517 1131.2 9120.0 0.95955 0.10555 
0.98924 0.82000 0.08689 1.09392 1.17565 11.95661 1137.3 9180.3 0.97361 0.10529 
0.98926 0.82800 0.08910 1.10598 1.18977 11.94816 1143.4 9239.9 0.98760 0.10505 
0.98926 0.83600 0.09134 1.11795 1.20383 11.93969 1147.8 9299.4 1.00162 0.10466 
0.98924 0.84400 0.09361 1.12984 1.21784 11.93120 1151.5 9358.4 1.01565 0.10425 
0.98922 0.85200 0.09591 1.14165 1.23179 11.92268 1155.1 9417.0 1.02966 0.10383 
0.98920 0.86000 0.09824 1.15336 1.24567 11.91412 1159.2 9475.1 1.04361 0.10348 
0.98917 0.86800 0.10060 1.16498 1.25946 11.90558 1165.0 9532.3 1.05743 0.10328 
0.98915 0.87600 0.10298 1.17648 1.27314 11.89710 1172.9 9588.6 1.07105 0.10327 
0.98914 0.88400 0.10540 1.18786 1.28669 11.88869 1182.0 9644.1 1.08450 0.10337 
0.98913 0.89200 0.10785 1.19911 1.30011 11.88033 1191.5 9698.8 1.09778 0.10351 
0.98912 0.90000 0.11033 1.21021 1.31339 11.87201 1201.0 9752.9 1.11089 0.10365 
0.98911 0.90800 0.11283 1.22118 1.32652 11.86369 1209.7 9806.4 1.12385 0.10374 
0.98911 0.91600 0.11537 1.23202 1.33953 11.85534 1217.5 9859.4 1.13667 0.10374 
0.98910 0.92400 0.11794 1.24272 1.35239 11.84694 1224.3 9911.9 1.14935 0.10368 
0.98910 0.93200 0.12053 1.25330 1.36514 11.83850 1230.7 9963.9 1.16189 0.10358 
0.98910 0.94000 0.12316 1.26376 1.37776 11.83001 1236.7 10015.4 1.17430 0.10347 
0.98909 0.94800 0.12581 1.27410 1.39027 11.82148 1242.5 10066.5 1.18657 0.10334 
0.98909 0.95600 0.12849 1.28432 1.40266 11.81291 1248.1 10117.1 1.19871 0.10321 
0.98910 0.96400 0.13121 1.29442 1.41493 11.80430 1253.6 10167.2 1.21071 0.10307 
0.98910 0.97200 0.13395 1.30441 1.42709 11.79565 1258.9 10216.9 1.22258 0.10293 
0.98911 0.98000 0.13672 1.31428 1.43914 11.78696 1264.1 10266.1 1.23431 0.10278 
0.98912 0.98800 0.13952 1.32404 1.45107 11.77823 1269.4 10314.9 1.24590 0.10265 
0.98912 0.99600 0.14235 1.33369 1.46288 11.76948 1274.7 10363.2 1.25735 0.10253 
0.98913 1.00400 0.14520 1.34321 1.47456 11.76071 1280.6 10410.9 1.26863 0.10245 
0.98913 1.01200 0.14809 1.35262 1.48613 11.75192 1286.5 10458.2 1.27977 0.10239 
0.98914 1.02000 0.15100 1.36192 1.49758 11.74311 1292.4 10505.1 1.29076 0.10234 
0.98914 1.02800 0.15395 1.37110 1.50891 11.73429 1298.3 10551.5 1.30163 0.10228 
0.98914 1.03600 0.15692 1.38017 1.52013 11.72545 1303.8 10597.7 1.31237 0.10221 
0.98914 1.04400 0.15992 1.38914 1.53125 11.71658 1308.7 10643.6 1.32302 0.10210 
0.98914 1.05200 0.16295 1.39802 1.54230 11.70767 1312.0 10689.5 1.33365 0.10186 
0.98913 1.06000 0.16601 1.40681 1.55326 11.69873 1314.6 10735.2 1.34423 0.10159 
0.98911 1.06800 0.16909 1.41551 1.56415 11.68975 1316.8 10780.7 1.35475 0.10130 
0.98909 1.07600 0.17220 1.42412 1.57495 11.68071 1318.7 10825.9 1.36519 0.10100 
0.98907 1.08400 0.17535 1.43262 1.58564 11.67158 1320.7 10870.8 1.37540 0.10071 
0.98904 1.09200 0.17852 1.44104 1.59626 11.66243 1322.6 10915.4 1.38564 0.10042 
0.98902 1.10000 0.18171 1.44936 1.60678 11.65324 1325.5 10959.4 1.39573 0.10021 
0.98900 1.10800 0.18494 1.45758 1.61717 11.64400 1329.8 11002.8 1.40560 0.10011 
0.98899 1.11600 0.18819 1.46568 1.62743 11.63473 1334.8 11045.7 1.41528 0.10006 
0.98898 1.12400 0.19147 1.47368 1.63758 11.62543 1340.6 11088.1 1.42478 0.10007 
0.98897 1.13200 0.19478 1.48157 1.64761 11.61612 1347.0 11130.1 1.43409 0.10013 
0.98896 1.14000 0.19812 1.48935 1.65751 11.60681 1354.1 11171.6 1.44322 0.10025 
0.98896 1.14800 0.20148 1.49703 1.66730 11.59751 1361.7 11212.6 1.45218 0.10040 
0.98896 1.15600 0.20487 1.50460 1.67696 11.58822 1369.9 11253.3 1.46098 0.10060 
0.98896 1.16400 0.20829 1.51207 1.68652 11.57896 1378.3 11293.6 1.46964 0.10081 
0.98897 1.17200 0.21173 1.51944 1.69595 11.56969 1386.5 11333.6 1.47816 0.10101 
0.98897 1.18000 0.21520 1.52670 1.70526 11.56043 1394.5 11373.2 1.48652 0.10120 
0.98897 1.18800 0.21870 1.53386 1.71445 11.55116 1402.3 11412.5 1.49475 0.10138 
0.98898 1.19600 0.22223 1.54091 1.72352 11.54188 1409.8 11451.5 1.50282 0.10153 
0.98898 1.20400 0.22578 1.54786 1.73247 11.53259 1416.8 11490.2 1.51076 0.10166 
0.98899 1.21200 0.22936 1.55470 1.74130 11.52327 1423.4 11528.6 1.51855 0.10176 
0.98899 1.22000 0.23296 1.56144 1.75001 11.51394 1429.5 11566.8 1.52620 0.10182 
0.98900 1.22800 0.23659 1.56808 1.75860 11.50457 1435.0 11604.7 1.53370 0.10185 
0.98901 1.23600 0.24025 1.57463 1.76708 11.49518 1440.2 11642.3 1.54107 0.10186 
0.98902 1.24400 0.24393 1.58108 1.77545 11.48578 1445.2 11679.7 1.54831 0.10185 
0.98902 1.25200 0.24764 1.58744 1.78372 11.47637 1450.1 11716.7 1.55542 0.10184 
0.98903 1.26000 0.25138 1.59370 1.79188 11.46695 1454.8 11753.5 1.56239 0.10183 
0.98904 1.26800 0.25514 1.59988 1.79994 11.45752 1459.4 11790.1 1.56924 0.10181 
0.98905 1.27600 0.25893 1.60598 1.80790 11.44808 1464.0 11826.3 1.57597 0.10179 
0.98906 1.28400 0.26274 1.61198 1.81575 11.43863 1468.6 11862.3 1.58257 0.10177 
0.98907 1.29200 0.26658 1.61790 1.82351 11.42919 1473.0 11898.1 1.58904 0.10175 
0.98908 1.30000 0.27045 1.62374 1.83117 11.41974 1477.6 11933.5 1.59540 0.10173 
0.98909 1.30800 0.27434 1.62950 1.83873 11.41029 1482.0 11968.8 1.60164 0.10172 
0.98910 1.31600 0.27825 1.63517 1.84620 11.40084 1486.4 12003.7 1.60776 0.10170 
0.98911 1.32400 0.28220 1.64076 1.85357 11.39139 1490.8 12038.4 1.61376 0.10168 
0.98912 1.33200 0.28616 1.64627 1.86084 11.38194 1495.0 12072.9 1.61965 0.10166 
