ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.90758 0.50000 0.02299 0.55982 0.57635 13.26945 2260.7 5656.3 0.41969 0.34447 
0.90725 0.50800 0.02402 0.57503 0.59266 13.22729 2301.0 5759.7 0.43510 0.34452 
0.90583 0.51600 0.02507 0.59058 0.60936 13.19875 2354.9 5855.9 0.45124 0.34666 
0.90630 0.52400 0.02616 0.60578 0.62575 13.15498 2384.2 5960.5 0.46691 0.34517 
0.90568 0.53200 0.02727 0.62141 0.64263 13.12199 2423.9 6060.7 0.48374 0.34552 
0.90519 0.54000 0.02842 0.63694 0.65944 13.09071 2462.1 6158.2 0.50045 0.34560 
0.90479 0.54800 0.02959 0.65238 0.67620 13.06161 2499.9 6252.9 0.51703 0.34555 
0.90437 0.55600 0.03079 0.66785 0.69300 13.03471 2537.5 6345.8 0.53375 0.34552 
0.90392 0.56400 0.03201 0.68338 0.70993 13.00958 2574.8 6437.8 0.55079 0.34553 
0.90350 0.57200 0.03327 0.69893 0.72691 12.98567 2611.1 6528.6 0.56802 0.34547 
0.90318 0.58000 0.03455 0.71440 0.74384 12.96271 2646.4 6617.5 0.58517 0.34525 
0.90295 0.58800 0.03587 0.72978 0.76070 12.94077 2680.7 6704.6 0.60222 0.34491 
0.90271 0.59600 0.03721 0.74510 0.77753 12.92012 2714.6 6789.9 0.61928 0.34456 
0.90239 0.60400 0.03858 0.76045 0.79444 12.90113 2748.6 6874.2 0.63663 0.34430 
0.90196 0.61200 0.03999 0.77589 0.81151 12.88353 2782.6 6958.1 0.65446 0.34420 
0.90149 0.62000 0.04142 0.79137 0.82865 12.86675 2816.1 7041.2 0.67258 0.34413 
0.90113 0.62800 0.04288 0.80674 0.84572 12.85022 2848.9 7122.7 0.69057 0.34396 
0.90088 0.63600 0.04437 0.82199 0.86269 12.83405 2881.0 7202.6 0.70837 0.34369 
0.90068 0.64400 0.04589 0.83712 0.87956 12.81831 2912.4 7281.0 0.72603 0.34333 
0.90051 0.65200 0.04744 0.85215 0.89635 12.80316 2943.1 7358.0 0.74365 0.34294 
0.90031 0.66000 0.04902 0.86710 0.91308 12.78867 2973.4 7433.8 0.76125 0.34256 
0.90008 0.66800 0.05063 0.88199 0.92978 12.77483 3003.4 7508.6 0.77893 0.34220 
0.89983 0.67600 0.05227 0.89685 0.94650 12.76172 3033.1 7582.6 0.79676 0.34187 
0.89958 0.68400 0.05393 0.91163 0.96317 12.74887 3062.4 7655.7 0.81461 0.34155 
0.89936 0.69200 0.05563 0.92631 0.97976 12.73620 3091.2 7727.7 0.83238 0.34122 
0.89917 0.70000 0.05736 0.94086 0.99624 12.72370 3119.6 7798.6 0.85002 0.34085 
0.89902 0.70800 0.05912 0.95530 1.01263 12.71134 3147.5 7868.4 0.86753 0.34045 
0.89890 0.71600 0.06091 0.96962 1.02893 12.69918 3174.9 7937.2 0.88494 0.34004 
0.89880 0.72400 0.06273 0.98384 1.04513 12.68719 3202.0 8005.2 0.90225 0.33962 
0.89872 0.73200 0.06458 0.99793 1.06123 12.67537 3228.7 8072.0 0.91944 0.33919 
0.89864 0.74000 0.06645 1.01191 1.07723 12.66377 3255.2 8138.0 0.93653 0.33877 
0.89856 0.74800 0.06836 1.02578 1.09315 12.65243 3281.4 8203.2 0.95358 0.33837 
0.89843 0.75600 0.07030 1.03959 1.10904 12.64151 3307.4 8267.8 0.97072 0.33802 
0.89826 0.76400 0.07227 1.05333 1.12490 12.63088 3333.1 8332.0 0.98797 0.33771 
0.89807 0.77200 0.07427 1.06699 1.14070 12.62047 3358.5 8395.6 1.00525 0.33744 
0.89788 0.78000 0.07630 1.08054 1.15642 12.61009 3383.6 8458.4 1.02248 0.33716 
0.89774 0.78800 0.07836 1.09395 1.17199 12.59960 3408.4 8520.3 1.03949 0.33687 
0.89762 0.79600 0.08045 1.10721 1.18744 12.58905 3432.9 8581.3 1.05630 0.33656 
0.89753 0.80400 0.08257 1.12033 1.20274 12.57841 3457.0 8641.4 1.07290 0.33624 
0.89746 0.81200 0.08471 1.13331 1.21792 12.56774 3480.7 8700.8 1.08932 0.33590 
0.89740 0.82000 0.08689 1.14616 1.23298 12.55708 3504.2 8759.5 1.10560 0.33557 
0.89736 0.82800 0.08910 1.15887 1.24791 12.54639 3527.3 8817.6 1.12171 0.33523 
0.89732 0.83600 0.09134 1.17145 1.26271 12.53569 3550.2 8875.0 1.13765 0.33489 
0.89730 0.84400 0.09361 1.18390 1.27739 12.52497 3572.8 8931.7 1.15342 0.33455 
0.89730 0.85200 0.09591 1.19620 1.29193 12.51419 3595.0 8987.7 1.16900 0.33419 
0.89731 0.86000 0.09824 1.20837 1.30634 12.50340 3617.1 9043.1 1.18441 0.33385 
0.89733 0.86800 0.10060 1.22041 1.32063 12.49264 3639.0 9097.9 1.19966 0.33351 
0.89735 0.87600 0.10298 1.23231 1.33479 12.48191 3660.7 9152.0 1.21474 0.33319 
0.89736 0.88400 0.10540 1.24410 1.34883 12.47124 3682.3 9205.5 1.22969 0.33289 
0.89736 0.89200 0.10785 1.25576 1.36277 12.46070 3703.9 9258.6 1.24456 0.33261 
0.89735 0.90000 0.11033 1.26731 1.37659 12.45020 3725.2 9311.1 1.25930 0.33235 
0.89734 0.90800 0.11283 1.27872 1.39028 12.43971 3746.2 9363.2 1.27392 0.33209 
0.89732 0.91600 0.11537 1.29001 1.40386 12.42922 3766.9 9414.7 1.28840 0.33185 
0.89731 0.92400 0.11794 1.30117 1.41730 12.41868 3787.4 9465.7 1.30270 0.33159 
0.89730 0.93200 0.12053 1.31218 1.43059 12.40804 3807.6 9516.2 1.31680 0.33133 
0.89731 0.94000 0.12316 1.32306 1.44375 12.39735 3827.5 9566.1 1.33071 0.33108 
0.89732 0.94800 0.12581 1.33380 1.45677 12.38660 3847.2 9615.5 1.34442 0.33082 
0.89734 0.95600 0.12849 1.34441 1.46965 12.37580 3866.8 9664.4 1.35794 0.33056 
0.89737 0.96400 0.13121 1.35488 1.48240 12.36495 3886.1 9712.8 1.37127 0.33031 
0.89740 0.97200 0.13395 1.36523 1.49501 12.35409 3905.2 9760.7 1.38442 0.33006 
0.89744 0.98000 0.13672 1.37543 1.50747 12.34313 3924.1 9808.2 1.39738 0.32981 
0.89748 0.98800 0.13952 1.38552 1.51982 12.33220 3942.9 9855.3 1.41018 0.32957 
0.89752 0.99600 0.14235 1.39548 1.53204 12.32124 3961.4 9901.9 1.42279 0.32933 
0.89756 1.00400 0.14520 1.40531 1.54412 12.31027 3979.8 9948.0 1.43523 0.32910 
0.89760 1.01200 0.14809 1.41502 1.55608 12.29926 3998.1 9993.8 1.44750 0.32887 
0.89765 1.02000 0.15100 1.42461 1.56790 12.28823 4016.1 10039.1 1.45959 0.32865 
0.89770 1.02800 0.15395 1.43407 1.57960 12.27719 4034.0 10084.0 1.47150 0.32843 
0.89775 1.03600 0.15692 1.44341 1.59117 12.26611 4051.8 10128.5 1.48325 0.32822 
0.89781 1.04400 0.15992 1.45263 1.60260 12.25502 4069.3 10172.6 1.49482 0.32801 
0.89786 1.05200 0.16295 1.46173 1.61392 12.24390 4086.8 10216.3 1.50622 0.32781 
0.89792 1.06000 0.16601 1.47071 1.62510 12.23277 4104.1 10259.6 1.51745 0.32761 
