ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.66167 0.50000 0.02299 0.61544 0.63446 16.70742 3802.7 4224.4 0.53835 0.61500 
0.66005 0.50800 0.02402 0.63399 0.65437 16.65291 3878.5 4310.1 0.56256 0.61766 
0.65837 0.51600 0.02507 0.65249 0.67425 16.60693 3952.8 4391.7 0.58675 0.61985 
0.65685 0.52400 0.02616 0.67110 0.69430 16.56115 4025.7 4473.4 0.61141 0.62186 
0.65528 0.53200 0.02727 0.67736 0.70063 16.31260 4173.7 4615.0 0.61779 0.63945 
0.65370 0.54000 0.02842 0.70852 0.73476 16.48302 4168.5 4631.1 0.66197 0.62547 
0.65231 0.54800 0.02959 0.72720 0.75502 16.44626 4237.9 4708.2 0.68749 0.62688 
0.65087 0.55600 0.03079 0.74611 0.77558 16.41141 4306.6 4785.2 0.71396 0.62848 
0.64931 0.56400 0.03201 0.76520 0.79639 16.38072 4374.7 4860.7 0.74121 0.63013 
0.64792 0.57200 0.03327 0.78416 0.81710 16.34984 4441.5 4935.3 0.76837 0.63149 
0.64663 0.58000 0.03455 0.80303 0.83775 16.32022 4506.9 5008.5 0.79547 0.63260 
0.64529 0.58800 0.03587 0.82191 0.85847 16.29355 4571.6 5080.0 0.82289 0.63366 
0.64396 0.59600 0.03721 0.84083 0.87928 16.26827 4635.5 5150.7 0.85077 0.63472 
0.64275 0.60400 0.03858 0.85971 0.90009 16.24240 4698.3 5221.2 0.87882 0.63567 
0.64160 0.61200 0.03999 0.87847 0.92082 16.21759 4760.1 5290.3 0.90680 0.63644 
0.64040 0.62000 0.04142 0.89716 0.94151 16.19590 4821.1 5357.1 0.93479 0.63711 
0.63919 0.62800 0.04288 0.91579 0.96219 16.17577 4881.4 5422.6 0.96297 0.63776 
0.63807 0.63600 0.04437 0.93447 0.98297 16.15432 4940.9 5488.8 0.99166 0.63845 
0.63703 0.64400 0.04589 0.95315 1.00380 16.13164 4999.6 5555.4 1.02074 0.63917 
0.63602 0.65200 0.04744 0.97173 1.02458 16.10987 5057.5 5620.9 1.04985 0.63982 
0.63497 0.66000 0.04902 0.99017 1.04524 16.09061 5114.8 5684.2 1.07881 0.64038 
0.63392 0.66800 0.05063 1.00848 1.06580 16.07286 5171.3 5745.8 1.10764 0.64084 
0.63294 0.67600 0.05227 1.02665 1.08624 16.05452 5227.0 5807.0 1.13637 0.64123 
0.63203 0.68400 0.05393 1.04471 1.10661 16.03557 5281.8 5867.9 1.16512 0.64158 
0.63118 0.69200 0.05563 1.06268 1.12693 16.01635 5336.0 5928.5 1.19395 0.64192 
0.63034 0.70000 0.05736 1.08055 1.14719 15.99732 5389.5 5988.5 1.22285 0.64227 
0.62950 0.70800 0.05912 1.09829 1.16734 15.97896 5442.4 6047.5 1.25165 0.64258 
0.62869 0.71600 0.06091 1.11588 1.18736 15.96120 5494.7 6105.3 1.28027 0.64283 
0.62791 0.72400 0.06273 1.13329 1.20723 15.94328 5546.3 6162.5 1.30866 0.64304 
0.62718 0.73200 0.06458 1.15053 1.22694 15.92526 5597.3 6219.0 1.33681 0.64318 
0.62649 0.74000 0.06645 1.16761 1.24652 15.90703 5647.6 6274.9 1.36478 0.64330 
0.62583 0.74800 0.06836 1.18455 1.26596 15.88878 5697.3 6330.3 1.39261 0.64340 
0.62517 0.75600 0.07030 1.20140 1.28537 15.87090 5746.5 6385.1 1.42054 0.64354 
0.62448 0.76400 0.07227 1.21812 1.30466 15.85314 5795.5 6439.4 1.44853 0.64377 
0.62380 0.77200 0.07427 1.23475 1.32390 15.83608 5843.9 6493.0 1.47653 0.64398 
0.62316 0.78000 0.07630 1.25121 1.34298 15.81858 5891.7 6546.1 1.50429 0.64417 
0.62257 0.78800 0.07836 1.26746 1.36186 15.80072 5938.9 6598.7 1.53166 0.64430 
0.62202 0.79600 0.08045 1.28353 1.38057 15.78265 5985.6 6650.7 1.55871 0.64439 
0.62150 0.80400 0.08257 1.29940 1.39909 15.76446 6031.7 6702.1 1.58541 0.64445 
0.62100 0.81200 0.08471 1.31509 1.41744 15.74620 6077.4 6752.9 1.61182 0.64448 
0.62053 0.82000 0.08689 1.33060 1.43561 15.72779 6122.5 6803.2 1.63795 0.64450 
0.62007 0.82800 0.08910 1.34593 1.45361 15.70946 6167.3 6852.9 1.66378 0.64452 
0.61961 0.83600 0.09134 1.36108 1.47145 15.69134 6211.6 6901.9 1.68934 0.64452 
0.61917 0.84400 0.09361 1.37609 1.48915 15.67338 6255.5 6950.3 1.71471 0.64453 
0.61874 0.85200 0.09591 1.39091 1.50667 15.65515 6299.0 6998.4 1.73981 0.64455 
0.61834 0.86000 0.09824 1.40557 1.52403 15.63661 6342.0 7046.3 1.76466 0.64456 
0.61797 0.86800 0.10060 1.42006 1.54124 15.61773 6384.5 7093.9 1.78927 0.64458 
0.61762 0.87600 0.10298 1.43437 1.55825 15.59873 6426.6 7141.0 1.81354 0.64458 
0.61729 0.88400 0.10540 1.44848 1.57508 15.57966 6468.4 7187.7 1.83746 0.64457 
0.61698 0.89200 0.10785 1.46243 1.59174 15.56064 6509.7 7233.8 1.86105 0.64455 
0.61668 0.90000 0.11033 1.47618 1.60820 15.54144 6550.6 7279.5 1.88428 0.64452 
0.61640 0.90800 0.11283 1.48974 1.62447 15.52215 6591.2 7324.7 1.90713 0.64448 
0.61613 0.91600 0.11537 1.50312 1.64055 15.50283 6631.4 7369.6 1.92967 0.64444 
0.61587 0.92400 0.11794 1.51633 1.65646 15.48356 6671.2 7413.9 1.95188 0.64440 
0.61561 0.93200 0.12053 1.52936 1.67218 15.46446 6710.8 7457.6 1.97374 0.64436 
0.61535 0.94000 0.12316 1.54222 1.68773 15.44549 6750.0 7500.8 1.99527 0.64432 
0.61510 0.94800 0.12581 1.55491 1.70310 15.42657 6788.9 7543.6 2.01650 0.64428 
0.61486 0.95600 0.12849 1.56743 1.71829 15.40765 6827.5 7585.9 2.03738 0.64424 
0.61463 0.96400 0.13121 1.57977 1.73330 15.38860 6865.7 7627.9 2.05793 0.64420 
0.61442 0.97200 0.13395 1.59196 1.74816 15.36943 6903.6 7669.6 2.07822 0.64415 
0.61422 0.98000 0.13672 1.60400 1.76286 15.34998 6941.2 7711.3 2.09828 0.64413 
0.61404 0.98800 0.13952 1.61587 1.77739 15.33038 6978.4 7752.7 2.11806 0.64412 
0.61388 0.99600 0.14235 1.62759 1.79176 15.31065 7015.3 7793.9 2.13757 0.64411 
0.61372 1.00400 0.14520 1.63915 1.80596 15.29081 7051.8 7834.9 2.15677 0.64410 
0.61358 1.01200 0.14809 1.65055 1.81999 15.27089 7088.1 7875.6 2.17568 0.64410 
0.61345 1.02000 0.15100 1.66178 1.83383 15.25095 7124.1 7915.9 2.19419 0.64409 
0.61332 1.02800 0.15395 1.67283 1.84748 15.23100 7159.8 7955.8 2.21234 0.64407 
0.61321 1.03600 0.15692 1.68371 1.86095 15.21104 7195.1 7995.3 2.23011 0.64405 
0.61311 1.04400 0.15992 1.69442 1.87423 15.19105 7230.2 8034.5 2.24752 0.64402 
0.61301 1.05200 0.16295 1.70498 1.88735 15.17108 7265.1 8073.4 2.26461 0.64400 
0.61291 1.06000 0.16601 1.71538 1.90029 15.15112 7299.7 8111.9 2.28137 0.64397 
0.61283 1.06800 0.16909 1.72563 1.91306 15.13116 7334.0 8150.1 2.29780 0.64395 
0.61275 1.07600 0.17220 1.73572 1.92567 15.11118 7368.1 8187.9 2.31391 0.64392 
0.61268 1.08400 0.17535 1.74567 1.93812 15.09132 7401.8 8225.4 2.32973 0.64389 
0.61261 1.09200 0.17852 1.75547 1.95040 15.07139 7435.4 8262.7 2.34524 0.64386 
0.61255 1.10000 0.18171 1.76511 1.96250 15.05147 7468.7 8299.7 2.36040 0.64384 
