ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.78907 0.99600 0.14235 1.48237 1.62920 13.15434 5584.7 9308.0 1.67218 0.48357 
0.78912 1.00400 0.14520 1.49269 1.64190 13.14016 5611.6 9353.2 1.68646 0.48329 
0.78918 1.01200 0.14809 1.50287 1.65445 13.12601 5638.3 9397.9 1.70053 0.48303 
0.78923 1.02000 0.15100 1.51293 1.66687 13.11184 5664.8 9442.3 1.71440 0.48278 
0.78929 1.02800 0.15395 1.52285 1.67915 13.09770 5691.0 9486.2 1.72807 0.48253 
0.78936 1.03600 0.15692 1.53264 1.69129 13.08354 5717.1 9529.8 1.74153 0.48230 
0.78942 1.04400 0.15992 1.54230 1.70329 13.06938 5742.9 9573.1 1.75478 0.48207 
0.78949 1.05200 0.16295 1.55182 1.71514 13.05522 5768.6 9615.9 1.76780 0.48184 
0.78956 1.06000 0.16601 1.56121 1.72685 13.04104 5794.0 9658.3 1.78059 0.48162 
0.78963 1.06800 0.16909 1.57047 1.73842 13.02685 5819.3 9700.4 1.79315 0.48141 
0.78972 1.07600 0.17220 1.57959 1.74984 13.01265 5844.3 9742.0 1.80548 0.48120 
0.78980 1.08400 0.17535 1.58858 1.76111 12.99843 5869.1 9783.3 1.81757 0.48098 
0.78990 1.09200 0.17852 1.59744 1.77224 12.98418 5893.7 9824.3 1.82944 0.48078 
0.78999 1.10000 0.18171 1.60618 1.78323 12.96992 5918.1 9864.9 1.84109 0.48057 
0.79010 1.10800 0.18494 1.61479 1.79409 12.95563 5942.3 9905.2 1.85253 0.48037 
0.79020 1.11600 0.18819 1.62328 1.80480 12.94135 5966.4 9945.2 1.86374 0.48017 
0.79031 1.12400 0.19147 1.63164 1.81538 12.92706 5990.2 9984.8 1.87475 0.47998 
0.79043 1.13200 0.19478 1.63989 1.82583 12.91276 6013.8 10024.1 1.88555 0.47979 
0.79054 1.14000 0.19812 1.64801 1.83615 12.89847 6037.2 10063.2 1.89615 0.47960 
0.79066 1.14800 0.20148 1.65602 1.84633 12.88419 6060.5 10101.8 1.90654 0.47942 
0.79078 1.15600 0.20487 1.66390 1.85638 12.86992 6083.6 10140.2 1.91673 0.47924 
0.79090 1.16400 0.20829 1.67167 1.86629 12.85566 6106.5 10178.3 1.92672 0.47907 
0.79102 1.17200 0.21173 1.67932 1.87608 12.84141 6129.2 10216.1 1.93651 0.47890 
0.79115 1.18000 0.21520 1.68685 1.88571 12.82708 6151.7 10253.6 1.94608 0.47873 
0.79128 1.18800 0.21870 1.69427 1.89524 12.81284 6174.1 10290.9 1.95548 0.47857 
0.79141 1.19600 0.22223 1.70159 1.90464 12.79861 6196.3 10327.8 1.96469 0.47841 
0.79154 1.20400 0.22578 1.70881 1.91392 12.78438 6218.3 10364.5 1.97371 0.47825 
0.79168 1.21200 0.22936 1.71591 1.92308 12.77016 6240.1 10400.9 1.98255 0.47810 
0.79181 1.22000 0.23296 1.72291 1.93212 12.75595 6261.8 10437.0 1.99121 0.47794 
0.79195 1.22800 0.23659 1.72980 1.94104 12.74176 6283.3 10472.8 1.99968 0.47780 
0.79209 1.23600 0.24025 1.73659 1.94984 12.72758 6304.7 10508.4 2.00797 0.47765 
0.79224 1.24400 0.24393 1.74328 1.95852 12.71342 6325.9 10543.8 2.01608 0.47751 
0.79238 1.25200 0.24764 1.74987 1.96708 12.69928 6347.0 10578.9 2.02402 0.47737 
0.79253 1.26000 0.25138 1.75636 1.97553 12.68516 6367.9 10613.7 2.03177 0.47723 
0.79268 1.26800 0.25514 1.76274 1.98385 12.67105 6388.6 10648.2 2.03934 0.47710 
