ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.63895 0.50000 0.02299 0.61727 0.63638 17.23417 3833.7 4036.0 0.54258 0.62118 
0.63731 0.50800 0.02402 0.63575 0.65620 17.18113 3909.7 4115.8 0.56651 0.62355 
0.63561 0.51600 0.02507 0.65427 0.67610 17.13508 3984.4 4193.0 0.59073 0.62566 
0.63410 0.52400 0.02616 0.67309 0.69638 17.08573 4058.5 4272.4 0.61605 0.62794 
0.63252 0.53200 0.02727 0.69209 0.71691 17.04058 4131.8 4350.7 0.64210 0.63023 
0.63085 0.54000 0.02842 0.71101 0.73739 17.00384 4203.7 4424.8 0.66809 0.63211 
0.62936 0.54800 0.02959 0.72992 0.75790 16.96676 4274.1 4498.7 0.69427 0.63374 
0.62792 0.55600 0.03079 0.74894 0.77858 16.93069 4343.6 4572.2 0.72105 0.63534 
0.62645 0.56400 0.03201 0.76921 0.80071 16.91659 4405.2 4638.6 0.75009 0.63545 
0.62509 0.57200 0.03327 0.78702 0.82012 16.86696 4478.9 4714.7 0.77540 0.63799 
0.62378 0.58000 0.03455 0.80584 0.84071 16.83531 4545.4 4784.7 0.80251 0.63918 
0.62236 0.58800 0.03587 0.82489 0.86162 16.80858 4611.0 4853.0 0.83052 0.64038 
0.62092 0.59600 0.03721 0.84408 0.88272 16.78309 4675.9 4921.0 0.85928 0.64168 
0.61963 0.60400 0.03858 0.86321 0.90382 16.75636 4739.7 4988.9 0.88817 0.64284 
0.61842 0.61200 0.03999 0.88219 0.92479 16.73053 4802.4 5055.5 0.91687 0.64378 
0.61722 0.62000 0.04142 0.90107 0.94569 16.70687 4864.2 5120.3 0.94555 0.64456 
0.61602 0.62800 0.04288 0.91990 0.96659 16.68448 4925.1 5184.0 0.97443 0.64531 
0.61489 0.63600 0.04437 0.93873 0.98754 16.66188 4985.3 5247.6 1.00363 0.64605 
0.61382 0.64400 0.04589 0.95749 1.00846 16.63879 5044.6 5310.9 1.03299 0.64676 
0.61277 0.65200 0.04744 0.97614 1.02930 16.61696 5103.1 5372.9 1.06230 0.64737 
0.61169 0.66000 0.04902 0.99465 1.05004 16.59757 5160.9 5432.9 1.09151 0.64789 
0.61061 0.66800 0.05063 1.01304 1.07068 16.57945 5218.0 5491.6 1.12063 0.64833 
0.60960 0.67600 0.05227 1.03131 1.09124 16.56068 5274.2 5549.9 1.14974 0.64872 
0.60866 0.68400 0.05393 1.04955 1.11181 16.54070 5329.7 5608.6 1.17912 0.64916 
0.60778 0.69200 0.05563 1.06774 1.13238 16.51990 5384.7 5667.5 1.20879 0.64964 
0.60691 0.70000 0.05736 1.08587 1.15293 16.49940 5439.1 5725.8 1.23862 0.65013 
0.60602 0.70800 0.05912 1.10382 1.17332 16.48043 5492.8 5782.5 1.26819 0.65054 
0.60514 0.71600 0.06091 1.12159 1.19356 16.46244 5545.8 5837.9 1.29752 0.65088 
0.60431 0.72400 0.06273 1.13920 1.21364 16.44424 5598.2 5892.7 1.32661 0.65114 
0.60353 0.73200 0.06458 1.15663 1.23357 16.42556 5649.8 5947.0 1.35548 0.65137 
0.60279 0.74000 0.06645 1.17391 1.25338 16.40665 5700.9 6000.8 1.38421 0.65157 
0.60208 0.74800 0.06836 1.19105 1.27306 16.38770 5751.4 6054.1 1.41282 0.65176 
0.60137 0.75600 0.07030 1.20806 1.29265 16.36899 5801.3 6106.8 1.44140 0.65196 
0.60066 0.76400 0.07227 1.22494 1.31213 16.35071 5850.8 6158.8 1.46991 0.65216 
0.59998 0.77200 0.07427 1.24171 1.33152 16.33301 5899.5 6209.9 1.49829 0.65231 
0.59934 0.78000 0.07630 1.25826 1.35070 16.31428 5947.8 6260.9 1.52635 0.65247 
0.59874 0.78800 0.07836 1.27462 1.36970 16.29540 5995.6 6311.4 1.55412 0.65260 
0.59816 0.79600 0.08045 1.29079 1.38853 16.27644 6042.9 6361.2 1.58157 0.65269 
0.59761 0.80400 0.08257 1.30678 1.40719 16.25732 6089.7 6410.6 1.60874 0.65277 
0.59708 0.81200 0.08471 1.32259 1.42566 16.23815 6135.9 6459.4 1.63559 0.65282 
0.59657 0.82000 0.08689 1.33822 1.44398 16.21922 6181.7 6507.5 1.66215 0.65285 
0.59606 0.82800 0.08910 1.35367 1.46212 16.20057 6227.0 6554.9 1.68846 0.65288 
0.59554 0.83600 0.09134 1.36896 1.48011 16.18215 6271.9 6601.6 1.71456 0.65292 
0.59504 0.84400 0.09361 1.38412 1.49798 16.16363 6316.5 6648.2 1.74058 0.65300 
0.59456 0.85200 0.09591 1.39914 1.51573 16.14475 6360.6 6694.5 1.76646 0.65308 
0.59411 0.86000 0.09824 1.41400 1.53334 16.12553 6404.3 6740.6 1.79213 0.65318 
0.59368 0.86800 0.10060 1.42870 1.55079 16.10593 6447.6 6786.6 1.81760 0.65328 
0.59328 0.87600 0.10298 1.44319 1.56803 16.08626 6490.4 6832.0 1.84263 0.65336 
0.59290 0.88400 0.10540 1.45749 1.58507 16.06645 6532.8 6877.0 1.86729 0.65342 
0.59253 0.89200 0.10785 1.47159 1.60191 16.04654 6574.8 6921.5 1.89155 0.65346 
0.59219 0.90000 0.11033 1.48550 1.61856 16.02651 6616.4 6965.6 1.91544 0.65348 
0.59186 0.90800 0.11283 1.49923 1.63503 16.00645 6657.6 7009.2 1.93897 0.65349 
0.59154 0.91600 0.11537 1.51277 1.65130 15.98628 6698.4 7052.4 1.96214 0.65350 
