ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.76056 0.50000 0.02299 0.59775 0.61597 14.94199 3446.2 4922.3 0.49886 0.54749 
0.75934 0.50800 0.02402 0.61504 0.63452 14.89412 3512.2 5018.3 0.51963 0.54897 
0.75809 0.51600 0.02507 0.63232 0.65310 14.85186 3577.5 5111.0 0.54047 0.55025 
0.75679 0.52400 0.02616 0.64971 0.67183 14.81340 3642.1 5202.0 0.56174 0.55150 
0.75553 0.53200 0.02727 0.66732 0.69086 14.77578 3705.6 5293.7 0.58385 0.55281 
0.75426 0.54000 0.02842 0.68500 0.71001 14.74101 3768.2 5383.7 0.60633 0.55405 
0.75309 0.54800 0.02959 0.70259 0.72908 14.70881 3829.7 5471.1 0.62867 0.55498 
0.75199 0.55600 0.03079 0.72015 0.74818 14.67827 3890.0 5557.1 0.65114 0.55573 
0.75088 0.56400 0.03201 0.73777 0.76739 14.64957 3949.4 5642.1 0.67403 0.55648 
0.74978 0.57200 0.03327 0.75545 0.78670 14.62300 4008.0 5725.6 0.69723 0.55716 
0.74880 0.58000 0.03455 0.77300 0.80592 14.59691 4065.4 5807.8 0.72032 0.55764 
0.74790 0.58800 0.03587 0.79047 0.82508 14.57201 4121.7 5888.4 0.74337 0.55796 
0.74698 0.59600 0.03721 0.80795 0.84430 14.54886 4177.6 5967.6 0.76669 0.55828 
0.74601 0.60400 0.03858 0.82552 0.86368 14.52709 4232.8 6046.3 0.79057 0.55872 
0.74506 0.61200 0.03999 0.84311 0.88313 14.50581 4287.1 6124.6 0.81482 0.55917 
0.74416 0.62000 0.04142 0.86059 0.90249 14.48542 4340.6 6201.3 0.83898 0.55949 
0.74329 0.62800 0.04288 0.87797 0.92178 14.46622 4393.5 6276.2 0.86305 0.55972 
0.74247 0.63600 0.04437 0.89522 0.94098 14.44762 4445.5 6349.8 0.88703 0.55987 
0.74170 0.64400 0.04589 0.91239 0.96012 14.42936 4496.7 6422.4 0.91103 0.55996 
0.74097 0.65200 0.04744 0.92949 0.97924 14.41127 4547.0 6494.5 0.93515 0.56002 
