ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.58542 0.69600 0.05649 1.07866 1.14467 17.04601 5427.8 5427.8 1.22907 0.65240 
0.58453 0.70400 0.05824 1.09670 1.16514 17.02560 5482.0 5482.4 1.25877 0.65282 
0.58366 0.71200 0.06001 1.11458 1.18546 17.00577 5535.5 5536.0 1.28826 0.65317 
0.58279 0.72000 0.06181 1.13230 1.20566 16.98689 5588.3 5588.5 1.31757 0.65346 
0.58195 0.72800 0.06365 1.14984 1.22569 16.96838 5640.5 5640.1 1.34666 0.65371 
0.58114 0.73600 0.06551 1.16721 1.24558 16.94954 5692.0 5691.2 1.37553 0.65391 
0.58039 0.74400 0.06740 1.18443 1.26533 16.93033 5742.9 5741.9 1.40422 0.65408 
0.57968 0.75200 0.06933 1.20152 1.28497 16.91042 5793.2 5792.5 1.43282 0.65425 
0.57900 0.76000 0.07128 1.21851 1.30456 16.88994 5843.2 5843.0 1.46154 0.65447 
0.57832 0.76800 0.07327 1.23541 1.32408 16.86958 5892.6 5893.2 1.49032 0.65472 
0.57763 0.77600 0.07528 1.25218 1.34350 16.85017 5941.5 5942.5 1.51906 0.65498 
0.57692 0.78400 0.07732 1.26876 1.36274 16.83164 5989.9 5990.6 1.54749 0.65521 
0.57624 0.79200 0.07940 1.28514 1.38179 16.81310 6037.8 6038.1 1.57557 0.65539 
0.57560 0.80000 0.08150 1.30133 1.40065 16.79412 6085.1 6085.2 1.60331 0.65554 
0.57500 0.80800 0.08364 1.31732 1.41933 16.77472 6131.9 6131.9 1.63072 0.65566 
0.57443 0.81600 0.08580 1.33309 1.43778 16.75475 6178.3 6178.4 1.65777 0.65579 
0.57388 0.82400 0.08799 1.34870 1.45610 16.73489 6224.2 6224.3 1.68458 0.65588 
0.57336 0.83200 0.09022 1.36415 1.47425 16.71514 6269.5 6269.5 1.71107 0.65594 
0.57284 0.84000 0.09247 1.37941 1.49222 16.69524 6314.4 6314.4 1.73728 0.65600 
0.57234 0.84800 0.09476 1.39450 1.51004 16.67558 6358.8 6358.7 1.76323 0.65605 
0.57185 0.85600 0.09707 1.40944 1.52771 16.65590 6402.8 6402.6 1.78897 0.65610 
0.57137 0.86400 0.09941 1.42420 1.54521 16.63599 6446.5 6446.1 1.81445 0.65617 
0.57092 0.87200 0.10179 1.43881 1.56257 16.61586 6489.7 6489.4 1.83971 0.65624 
0.57049 0.88000 0.10419 1.45322 1.57973 16.59549 6532.6 6532.4 1.86465 0.65630 
0.57008 0.88800 0.10662 1.46745 1.59670 16.57502 6575.0 6575.0 1.88922 0.65635 
0.56968 0.89600 0.10909 1.48149 1.61348 16.55450 6617.0 6617.1 1.91344 0.65640 
0.56930 0.90400 0.11158 1.49535 1.63009 16.53396 6658.6 6658.7 1.93730 0.65642 
0.56893 0.91200 0.11410 1.50902 1.64649 16.51312 6699.8 6700.1 1.96080 0.65644 
0.56859 0.92000 0.11665 1.52250 1.66271 16.49220 6740.7 6741.1 1.98394 0.65646 
0.56825 0.92800 0.11923 1.53580 1.67874 16.47126 6781.2 6781.8 2.00675 0.65647 
0.56791 0.93600 0.12184 1.54892 1.69459 16.45054 6821.3 6821.8 2.02919 0.65648 
0.56758 0.94400 0.12448 1.56186 1.71024 16.43003 6861.1 6861.3 2.05128 0.65648 
0.56725 0.95200 0.12715 1.57464 1.72573 16.40973 6900.5 6900.3 2.07303 0.65647 
0.56693 0.96000 0.12985 1.58723 1.74102 16.38934 6939.6 6939.0 2.09441 0.65646 
0.56663 0.96800 0.13257 1.59963 1.75612 16.36875 6978.4 6977.4 2.11544 0.65645 
0.56635 0.97600 0.13533 1.61187 1.77104 16.34792 7016.8 7015.6 2.13612 0.65644 
0.56608 0.98400 0.13811 1.62394 1.78579 16.32690 7055.0 7053.6 2.15652 0.65644 
0.56582 0.99200 0.14093 1.63588 1.80040 16.30585 7092.8 7091.3 2.17668 0.65644 
0.56557 1.00000 0.14377 1.64764 1.81483 16.28457 7130.3 7128.9 2.19655 0.65646 
0.56533 1.00800 0.14664 1.65925 1.82909 16.26322 7167.5 7166.2 2.21614 0.65649 
0.56510 1.01600 0.14954 1.67071 1.84320 16.24183 7204.5 7203.3 2.23545 0.65653 
0.56489 1.02400 0.15247 1.68201 1.85714 16.22032 7241.1 7240.2 2.25447 0.65657 
0.56468 1.03200 0.15543 1.69316 1.87092 16.19872 7277.5 7276.9 2.27319 0.65662 
0.56448 1.04000 0.15842 1.70414 1.88451 16.17706 7313.6 7313.3 2.29154 0.65666 
0.56429 1.04800 0.16143 1.71494 1.89791 16.15540 7349.4 7349.3 2.30949 0.65669 
0.56412 1.05600 0.16447 1.72560 1.91115 16.13380 7384.9 7385.0 2.32712 0.65671 
0.56394 1.06400 0.16755 1.73607 1.92420 16.11215 7420.2 7420.4 2.34437 0.65673 
0.56378 1.07200 0.17064 1.74639 1.93706 16.09049 7455.1 7455.6 2.36126 0.65675 
0.56362 1.08000 0.17377 1.75655 1.94976 16.06882 7489.8 7490.4 2.37782 0.65677 
0.56347 1.08800 0.17693 1.76655 1.96227 16.04720 7524.3 7525.0 2.39402 0.65679 
0.56333 1.09600 0.18011 1.77640 1.97461 16.02562 7558.4 7559.2 2.40986 0.65680 
0.56319 1.10400 0.18332 1.78609 1.98678 16.00402 7592.4 7593.2 2.42540 0.65681 
0.56306 1.11200 0.18656 1.79564 1.99879 15.98241 7626.0 7626.9 2.44063 0.65683 
0.56294 1.12000 0.18983 1.80503 2.01063 15.96081 7659.4 7660.4 2.45553 0.65684 
0.56282 1.12800 0.19312 1.81429 2.02231 15.93923 7692.6 7693.6 2.47013 0.65685 
0.56270 1.13600 0.19645 1.82340 2.03383 15.91767 7725.5 7726.6 2.48441 0.65687 
0.56260 1.14400 0.19979 1.83236 2.04518 15.89612 7758.2 7759.3 2.49838 0.65688 
0.56249 1.15200 0.20317 1.84119 2.05638 15.87463 7790.7 7791.8 2.51204 0.65689 
0.56239 1.16000 0.20657 1.84989 2.06743 15.85329 7822.9 7823.9 2.52542 0.65690 
0.56230 1.16800 0.21000 1.85844 2.07831 15.83189 7854.9 7855.9 2.53848 0.65691 
0.56221 1.17600 0.21346 1.86685 2.08904 15.81050 7886.6 7887.6 2.55125 0.65692 
0.56212 1.18400 0.21695 1.87514 2.09962 15.78915 7918.2 7919.1 2.56373 0.65693 
0.56204 1.19200 0.22046 1.88329 2.11004 15.76783 7949.5 7950.4 2.57593 0.65695 
0.56197 1.20000 0.22400 1.89131 2.12032 15.74654 7980.6 7981.5 2.58785 0.65696 
0.56190 1.20800 0.22756 1.89920 2.13044 15.72526 8011.5 8012.3 2.59948 0.65697 
0.56183 1.21600 0.23115 1.90697 2.14042 15.70401 8042.2 8043.0 2.61085 0.65699 
0.56177 1.22400 0.23477 1.91462 2.15027 15.68279 8072.7 8073.5 2.62198 0.65701 
0.56171 1.23200 0.23842 1.92215 2.15997 15.66159 8103.0 8103.8 2.63288 0.65704 
0.56166 1.24000 0.24209 1.92957 2.16955 15.64043 8133.1 8133.9 2.64352 0.65706 
0.56161 1.24800 0.24579 1.93686 2.17898 15.61934 8163.0 8163.8 2.65391 0.65709 
