ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.86208 0.50000 0.02299 0.57175 0.58881 13.70711 2728.4 5458.1 0.44378 0.42146 
0.86128 0.50800 0.02402 0.58767 0.60589 13.66535 2780.2 5559.5 0.46094 0.42222 
0.86055 0.51600 0.02507 0.60364 0.62306 13.62546 2830.1 5659.9 0.47838 0.42277 
0.85996 0.52400 0.02616 0.61954 0.64019 13.58786 2878.2 5757.9 0.49575 0.42299 
0.85937 0.53200 0.02727 0.63543 0.65734 13.55361 2926.1 5853.3 0.51319 0.42317 
0.85861 0.54000 0.02842 0.65152 0.67475 13.52238 2974.1 5948.1 0.53128 0.42356 
0.85780 0.54800 0.02959 0.66775 0.69237 13.49288 3021.3 6042.6 0.54996 0.42402 
0.85709 0.55600 0.03079 0.68395 0.70999 13.46478 3067.4 6135.1 0.56866 0.42429 
0.85654 0.56400 0.03201 0.70002 0.72750 13.43783 3112.1 6225.5 0.58716 0.42430 
0.85602 0.57200 0.03327 0.71605 0.74501 13.41252 3156.1 6314.0 0.60569 0.42423 
0.85545 0.58000 0.03455 0.73212 0.76260 13.38901 3199.8 6401.3 0.62451 0.42421 
0.85485 0.58800 0.03587 0.74822 0.78026 13.36699 3243.0 6487.4 0.64359 0.42422 
0.85430 0.59600 0.03721 0.76428 0.79793 13.34606 3285.8 6572.1 0.66273 0.42419 
0.85384 0.60400 0.03858 0.78025 0.81553 13.32581 3327.5 6655.1 0.68178 0.42402 
0.85346 0.61200 0.03999 0.79611 0.83305 13.30624 3368.4 6736.6 0.70072 0.42375 
0.85310 0.62000 0.04142 0.81191 0.85054 13.28757 3408.6 6816.7 0.71970 0.42345 
0.85268 0.62800 0.04288 0.82771 0.86806 13.26992 3448.2 6896.2 0.73894 0.42319 
0.85217 0.63600 0.04437 0.84354 0.88568 13.25341 3487.4 6975.0 0.75858 0.42304 
0.85163 0.64400 0.04589 0.85936 0.90333 13.23771 3526.3 7052.9 0.77845 0.42294 
0.85116 0.65200 0.04744 0.87507 0.92089 13.22231 3564.5 7129.2 0.79816 0.42277 
0.85076 0.66000 0.04902 0.89064 0.93834 13.20708 3602.1 7204.2 0.81770 0.42250 
0.85042 0.66800 0.05063 0.90609 0.95568 13.19213 3639.0 7278.0 0.83709 0.42218 
0.85011 0.67600 0.05227 0.92143 0.97294 13.17747 3675.3 7350.6 0.85638 0.42182 
0.84982 0.68400 0.05393 0.93668 0.99015 13.16330 3711.1 7422.1 0.87564 0.42143 
0.84955 0.69200 0.05563 0.95183 1.00727 13.14932 3746.4 7492.7 0.89484 0.42105 
0.84927 0.70000 0.05736 0.96690 1.02435 13.13580 3781.3 7562.6 0.91411 0.42069 
0.84899 0.70800 0.05912 0.98189 1.04137 13.12261 3815.8 7631.7 0.93340 0.42036 
0.84871 0.71600 0.06091 0.99678 1.05833 13.10967 3849.9 7699.8 0.95265 0.42002 
0.84846 0.72400 0.06273 1.01153 1.07516 13.09683 3883.5 7766.9 0.97174 0.41966 
0.84824 0.73200 0.06458 1.02615 1.09188 13.08410 3916.6 7833.0 0.99068 0.41929 
0.84804 0.74000 0.06645 1.04064 1.10848 13.07146 3949.3 7898.2 1.00947 0.41889 
0.84787 0.74800 0.06836 1.05500 1.12497 13.05889 3981.4 7962.6 1.02813 0.41848 
0.84771 0.75600 0.07030 1.06923 1.14135 13.04641 4013.2 8026.1 1.04666 0.41807 
0.84757 0.76400 0.07227 1.08332 1.15760 13.03397 4044.6 8088.8 1.06501 0.41764 
0.84745 0.77200 0.07427 1.09727 1.17373 13.02161 4075.5 8150.7 1.08322 0.41721 
0.84733 0.78000 0.07630 1.11111 1.18976 13.00939 4106.1 8211.9 1.10132 0.41680 
0.84720 0.78800 0.07836 1.12485 1.20572 12.99742 4136.5 8272.5 1.11944 0.41642 
0.84704 0.79600 0.08045 1.13850 1.22162 12.98565 4166.5 8332.7 1.13757 0.41607 
0.84688 0.80400 0.08257 1.15205 1.23744 12.97401 4196.2 8392.3 1.15568 0.41575 
0.84672 0.81200 0.08471 1.16549 1.25317 12.96240 4225.5 8451.4 1.17373 0.41545 
0.84658 0.82000 0.08689 1.17877 1.26875 12.95072 4254.5 8509.7 1.19155 0.41513 
